0.00001,0.00001
0.00148,0.00002
0.00605,0.00002
0.02067,0.00006
0.04234,0.00009
0.08895,0.00016
0.14143,0.00032
0.22349,0.00044
0.30705,0.00058
0.44820,0.00077
0.60185,0.00111
0.79060,0.00141
1.00642,0.00195
1.30460,0.00237
1.60655,0.00286
1.97284,0.00354
2.35030,0.00432
2.85241,0.00525
3.67669,0.00623
3.91689,0.00767
4.49984,0.00931
5.26770,0.01213
6.21801,0.01325
6.91614,0.01496
7.67353,0.01719
8.75981,0.01865
10.23115,0.02082
11.37826,0.02335
12.21872,0.02589
14.32738,0.02884
15.59481,0.03179
17.28366,0.03511
18.95573,0.03845
20.73519,0.04239
21.86247,0.04651
24.97022,0.05008
26.67047,0.05473
28.35845,0.06024
31.68287,0.06407
34.16998,0.06967
35.40921,0.07512
40.01262,0.08065
43.53939,0.08842
44.59061,0.09410
48.98406,0.10045
52.44286,0.10850
54.13399,0.11955
60.44200,0.12125
63.36817,0.13482
65.93618,0.14317
72.11220,0.15339
76.44500,0.15762
77.80935,0.18236
86.49132,0.18854
90.44354,0.20178
94.07359,0.22565
100.90814,0.24911
106.46722,0.26037
108.85660,0.28362
119.25934,0.28407
123.82183,0.30207
127.22880,0.35002
137.37965,0.49063
144.05384,0.38315
145.06528,0.43384
159.46892,0.49987
165.42763,0.60377
168.72346,0.63586
180.87529,0.64300
189.14155,0.74158
191.29144,0.84934
207.68272,0.84239
212.89982,0.92913
218.88862,0.86817
234.24327,0.96040
